mode,question,expected_answer,latency_ms,rag_hits,tool_hits,merged_hits,passed,precision_at_k,mrr,hallucination_rate,tool_call_accuracy,faithfulness_score,top_title,fail_genre,fail_year,fail_rating,fail_duration,fail_director
rag,Good Horror movies with rating above 3.9.,Should prioritize Horror movies with rating >= 3.9.,272.58,0,0,0,False,0.0,0.0,1.0,0.0,0.0,,True,False,True,False,False
rag,Show Action rating >= 5.3 director Peter Facinelli Action movies.,Should return movies matching multiple constraints.,338.3,3,0,3,False,0.0,0.0,1.0,0.0,0.0,The Stunt Man,False,False,False,False,True
rag,Show Comedy rating >= 4.7 director Arlene Sanford Comedy movies.,Should return movies matching multiple constraints.,333.09,2,0,2,False,0.0,0.0,1.0,0.0,0.0,The King of Comedy,False,False,False,False,True
rag,Good Comedy movies with rating above 1.8.,Should prioritize Comedy movies with rating >= 1.8.,279.91,0,0,0,False,0.0,0.0,1.0,0.0,0.0,,True,False,True,False,False
rag,Show Horror rating >= 4.9 Horror movies.,Should return movies matching multiple constraints.,286.17,0,0,0,False,0.0,0.0,1.0,0.0,0.0,,True,False,True,False,False
rag,Show Crime rating >= 6.9 director Wim Wenders Crime movies.,Should return movies matching multiple constraints.,569.78,0,0,0,False,0.0,0.0,1.0,0.0,0.0,,True,False,True,False,True
rag,Good Comedy movies with rating above 4.8.,Should prioritize Comedy movies with rating >= 4.8.,281.93,0,0,0,False,0.0,0.0,1.0,0.0,0.0,,True,False,True,False,False
rag,Good Drama movies with rating above 6.9.,Should prioritize Drama movies with rating >= 6.9.,244.21,0,0,0,False,0.0,0.0,1.0,0.0,0.0,,True,False,True,False,False
rag,Good Crime movies with rating above 5.9.,Should prioritize Crime movies with rating >= 5.9.,247.62,0,0,0,False,0.0,0.0,1.0,0.0,0.0,,True,False,True,False,False
rag,Good Biography movies with rating above 8.2.,Should prioritize Biography movies with rating >= 8.2.,294.12,3,0,3,False,0.0,0.0,1.0,0.0,0.0,Highest 2 Lowest,True,False,True,False,False
rag,Show Crime rating >= 5.9 director Tom Tykwer Crime movies.,Should return movies matching multiple constraints.,382.47,0,0,0,False,0.0,0.0,1.0,0.0,0.0,,True,False,True,False,True
rag,Good Biography movies with rating above 7.7.,Should prioritize Biography movies with rating >= 7.7.,274.38,3,0,3,False,0.0,0.0,1.0,0.0,0.0,Seven Pounds,True,False,True,False,False
rag,Show Action rating >= 7.3 Action movies.,Should return movies matching multiple constraints.,300.13,3,0,3,False,0.0,0.0,1.0,0.0,0.0,Last Action Hero,False,False,True,False,False
rag,Show Drama rating >= 4.8 Drama movies.,Should return movies matching multiple constraints.,284.51,0,0,0,False,0.0,0.0,1.0,0.0,0.0,,True,False,True,False,False
